GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
103902,Khlong Tan Nuea,Vadhana District,Bangkok,Central,2.0,0.32392857142857145,0.03333333333333333,0.06452638530289527,1.0,0.018800314103231682,3.2869750807267923,1,13.736,100.576
103903,Phra Khanong Nuea,Vadhana District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.719,100.596
104001,Bang Khae,Bang Khae District,Bangkok,Central,1.0,0.18107142857142858,0.05,0.05502492406150075,54.0,0.1381535296709038,3.1313405770235265,1,13.698,100.409
104002,Bang Khae Nuea,Bang Khae District,Bangkok,Central,1.0,0.18107142857142858,0.044444444444444446,0.05389418283215834,54.0,0.1381535296709038,3.066992720957502,1,13.72,100.4
104003,Bang Phai,Bang Khae District,Bangkok,Central,0.0,0.03821428571428571,0.044444444444444446,0.04308234093546196,0.0,0.0,2.154117046773098,1,13.741,100.385
104004,Lak Song,Bang Khae District,Bangkok,Central,1.0,0.18107142857142858,0.05,0.05502492406150075,54.0,0.1381535296709038,3.1313405770235265,1,13.683,100.396
104101,Thung Song Hong,Lak Si District,Bangkok,Central,2.0,0.32392857142857145,0.08333333333333333,0.07753338182625734,1.0,0.018800314103231682,3.949551687903838,1,13.883,100.564
104102,Talat Bang Khen,Lak Si District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.871,100.58
104201,Sai Mai,Sai Mai District,Bangkok,Central,2.0,0.32392857142857145,0.027777777777777776,0.06321345387226725,54.0,0.1381535296709038,3.5973307823704914,1,13.921,100.654
104202,O Ngoen,Sai Mai District,Bangkok,Central,1.0,0.18107142857142858,0.027777777777777776,0.05063210260300818,54.0,0.1381535296709038,2.8813553146136557,1,13.896,100.672
104203,Khlong Thanon,Sai Mai District,Bangkok,Central,0.0,0.03821428571428571,0.027777777777777776,0.040446697827093404,0.0,0.0,2.0223348913546704,1,13.898,100.63
104301,Khan Na Yao,Khan Na Yao District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.821,100.677
104401,Saphan Sung,Saphan Sung District,Bangkok,Central,1.0,0.18107142857142858,0.005555555555555556,0.04657269081689429,54.0,0.1381535296709038,2.650343621975996,1,13.761,100.688
104501,Wang Thong Lang,Wang Thonglang District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.779,100.609
104601,Sam Wa Tawan Tok,Khlong Sam Wa District,Bangkok,Central,2.0,0.32392857142857145,0.027777777777777776,0.06321345387226725,54.0,0.1381535296709038,3.5973307823704914,1,13.889,100.708
104602,Sam Wa Tawan Ok,Khlong Sam Wa District,Bangkok,Central,2.0,0.32392857142857145,0.03333333333333333,0.06452638530289527,54.0,0.1381535296709038,3.6720466594697494,1,13.896,100.76
104603,Bang Chan,Khlong Sam Wa District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,54.0,0.1381535296709038,2.942021180441963,1,13.839,100.7
104604,Sai Kong Din,Khlong Sam Wa District,Bangkok,Central,2.0,0.32392857142857145,0.03888888888888889,0.06586466878601506,54.0,0.1381535296709038,3.748205262970402,1,13.854,100.745
104605,Sai Kong Din Tai,Khlong Sam Wa District,Bangkok,Central,2.0,0.32392857142857145,0.03888888888888889,0.06586466878601506,54.0,0.1381535296709038,3.748205262970402,1,13.861,100.786
